"","return_year","age_class","CRITFC_prop_at_age","CRITFC_method","ONA_prop_at_age","ONA_method"
"208",2003,"prop_age_1.3","0.019","SPA - Mixed Stock Adjusted?",0.114893617021277,"Deadpitch"
"209",2003,"prop_age_2.1","0.0533127444026282","SPA - Mixed Stock Adjusted?",0,"Deadpitch"
"210",2003,"prop_age_2.2","0.00821292812486939","SPA - Mixed Stock Adjusted?",0,"Deadpitch"
"211",2003,"prop_age_2.3","0.009","SPA - Mixed Stock Adjusted?",NA,NA
"212",2003,"prop_age_3.1","0.07","SPA - Mixed Stock Adjusted?",NA,NA
"213",2003,"prop_age_3.2","0.028","SPA - Mixed Stock Adjusted?",NA,NA
"214",2003,"prop_age_3.3","0.001","SPA - Mixed Stock Adjusted?",NA,NA
"215",2003,"prop_age_4.1","0.048","SPA - Mixed Stock Adjusted?",NA,NA
"216",2004,"prop_age_1.1","0.0305343511450382","SPA - Mixed Stock Adjusted?",0.0264765784114053,"Deadpitch"
"217",2004,"prop_age_1.2","0.933842239185751","SPA - Mixed Stock Adjusted?",0.953156822810591,"Deadpitch"
"218",2004,"prop_age_1.3",NA,"SPA - Mixed Stock Adjusted?",0.0183299389002037,"Deadpitch"
"219",2004,"prop_age_2.1","0.00254452926208651","SPA - Mixed Stock Adjusted?",0,"Deadpitch"
"220",2004,"prop_age_2.2","0.0152671755725191","SPA - Mixed Stock Adjusted?",0.00203665987780041,"Deadpitch"
"221",2004,"prop_age_2.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"222",2004,"prop_age_3.1","0.018","SPA - Mixed Stock Adjusted?",NA,NA
"223",2004,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"224",2004,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"225",2004,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"226",2005,"prop_age_1.1","0.0149273040317686","SPA - Mixed Stock Adjusted?",0.00364963503649635,"Deadpitch"
"227",2005,"prop_age_1.2","0.890683615875087","SPA - Mixed Stock Adjusted?",0.963503649635037,"Deadpitch"
"228",2005,"prop_age_1.3","0.0390365514063087","SPA - Mixed Stock Adjusted?",0.0291970802919708,"Deadpitch"
"229",2005,"prop_age_2.1","0.0228740667806708","SPA - Mixed Stock Adjusted?",0,"Deadpitch"
"230",2005,"prop_age_2.2","0.0189010585845497","SPA - Mixed Stock Adjusted?",0.00364963503649635,"Deadpitch"
"231",2005,"prop_age_2.3","0.014","SPA - Mixed Stock Adjusted?",NA,NA
"232",2005,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"233",2005,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"234",2005,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
